reg_no | branch_code | penalized_subject_codes | subject_names | old_shown_grades | new_shown_grades | should_be_grades | shown_sgpa | corrected_sgpa | shown_cgpa | corrected_cgpa | status | old_result_url | new_result_url
22101149032 | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | F | P | D | 7.32 | 7.51 | 7.24 | 7.34 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101149032 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101149032&exam_held=November%2F2025
22101150007 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.49 | 6.63 | 6.51 | 6.59 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101150007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101150007&exam_held=November%2F2025
22101150013 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.07 | 6.22 | 6.13 | 6.21 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101150013 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101150013&exam_held=November%2F2025
22101150041 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.54 | 6.68 | 6.42 | 6.50 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101150041 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101150041&exam_held=November%2F2025
22101150067 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.83 | 6.98 | 6.49 | 6.57 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101150067 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101150067&exam_held=November%2F2025
22101151007 | 101 | 100203 | CHEMISTRY | F | P | D | 6.9 | 7.10 | 6.75 | 6.85 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101151007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101151007&exam_held=November%2F2025
22101151050 | 101 | 100206 | ENGLISH | F | P | D | 6.12 | 6.22 | 6.22 | 6.27 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101151050 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101151050&exam_held=November%2F2025
22101152022 | 101 | 100206 | ENGLISH | F | D | C | 7.15 | 7.24 | 6.74 | 6.79 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101152022 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101152022&exam_held=November%2F2025
22101152035 | 101 | 100203 | CHEMISTRY | F | D | C | 7.15 | 7.34 | 7.03 | 7.13 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101152035 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101152035&exam_held=November%2F2025
22101152053 | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | F | P | D | 6.98 | 7.17 | 6.86 | 6.96 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101152053 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101152053&exam_held=November%2F2025
22101152085 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | D | C | 6.61 | 6.66 | 6.34 | 6.37 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101152085 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101152085&exam_held=November%2F2025
22101152092 | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | F | P | D | 6.54 | 6.73 | 6.28 | 6.38 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101152092 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101152092&exam_held=November%2F2025
